YEAR,age,gender,marital_status,race,birth_place,education,occupation,industry,hours_per_week,income
1990,33,2,0,3,0,0,466,5,99,0
1990,71,2,3,0,0,1,0,0,0,0
1990,58,1,0,0,0,0,498,0,12,1
1990,50,2,0,0,0,0,253,4,70,1
1990,53,2,3,0,0,0,809,2,40,0
1990,25,1,1,3,0,0,0,0,0,0
1990,42,2,3,0,0,1,36,6,50,0
1990,66,2,3,3,0,0,0,0,0,0
1990,37,1,1,3,0,0,418,6,46,0
1990,28,2,1,3,0,0,453,5,5,0
1990,41,1,0,0,0,1,426,6,37,0
1990,30,2,0,0,0,1,337,5,37,0
1990,40,2,3,3,0,1,156,5,45,0
1990,35,1,2,0,0,0,833,2,99,0
1990,25,1,0,3,0,0,533,1,86,0
1990,26,2,0,3,0,0,447,5,20,0
1990,21,1,1,0,0,0,385,6,48,0
1990,22,2,0,0,0,0,227,6,50,0
1990,25,1,0,0,0,0,21,5,40,0
1990,48,1,0,0,0,1,8,6,40,1
1990,42,2,0,0,0,1,253,4,40,0
1990,53,1,0,3,0,0,498,0,30,0
1990,48,2,0,3,0,0,436,5,30,0
1990,26,2,1,3,0,0,0,0,0,0
1990,24,1,1,3,0,0,0,0,0,0
1990,18,1,1,3,0,0,547,6,24,0
1990,40,1,0,0,0,1,53,0,50,0
1990,36,2,0,3,0,1,156,5,0,0
1990,30,1,0,3,0,0,453,5,27,0
1990,23,2,0,3,0,0,156,5,30,0
1990,66,2,3,3,0,0,387,5,2,0
1990,40,1,1,3,0,1,869,0,40,0
1990,26,1,1,3,0,0,498,0,30,0
1990,27,1,1,3,0,0,869,0,40,0
1990,39,2,2,3,0,0,449,4,0,0
1990,68,1,2,0,0,0,498,0,0,0
1990,56,1,0,3,0,0,0,0,0,0
1990,68,2,0,3,0,0,0,0,0,0
1990,47,1,0,0,0,0,226,2,50,1
1990,43,2,0,0,0,0,22,5,24,0
1990,23,1,2,0,0,0,874,1,40,0
1990,50,2,0,0,0,1,313,5,40,0
1990,52,1,0,0,0,1,84,5,40,1
1990,36,1,0,0,0,0,549,1,89,1
1990,31,2,0,0,0,0,0,0,0,0
1990,33,1,3,3,3,0,688,1,84,0
1990,45,1,0,0,0,1,426,4,84,0
1990,44,2,0,0,0,1,276,3,40,0
1990,28,1,0,3,0,0,0,0,0,0
1990,26,2,0,3,0,0,505,4,0,0
1990,61,1,3,0,0,0,567,0,0,0
1990,31,1,0,0,0,1,22,6,40,0
1990,28,2,0,0,0,0,274,3,0,0
1990,39,1,0,0,0,0,494,1,70,1
1990,38,2,0,0,0,0,436,1,35,0
1990,18,2,1,0,0,0,436,3,25,0
1990,40,1,0,0,0,1,417,6,40,1
1990,41,2,0,3,0,1,155,5,0,0
1990,37,1,1,3,0,0,373,0,37,0
1990,33,2,2,3,0,1,313,6,40,0
1990,41,2,2,3,0,1,5,6,37,0
1990,25,1,0,3,0,0,804,3,99,0
1990,26,2,0,3,0,0,447,4,99,0
1990,41,1,1,3,0,0,869,0,38,1
1990,55,2,3,0,0,1,17,3,70,0
1990,37,1,1,0,0,0,36,6,70,0
1990,38,1,1,0,0,0,754,0,50,0
1990,58,1,0,0,0,0,22,2,40,0
1990,53,2,0,0,0,0,386,0,40,0
1990,29,1,1,3,0,0,0,0,0,0
1990,39,1,1,0,0,0,22,2,60,0
1990,72,1,0,3,0,0,498,0,60,1
1990,62,2,0,3,0,0,0,0,0,0
1990,27,2,0,3,0,0,335,5,40,0
1990,38,1,0,0,0,0,804,3,40,0
1990,57,1,0,3,0,0,695,2,0,0
1990,54,2,0,3,0,0,0,0,0,0
1990,27,1,1,3,0,0,889,5,0,0
1990,26,1,1,3,0,0,0,0,0,0
1990,32,1,0,0,0,1,883,2,60,0
1990,31,2,0,0,0,1,156,5,50,0
1990,24,1,2,0,0,1,549,1,60,0
1990,34,2,2,0,0,0,436,3,35,0
1990,46,1,2,0,0,1,783,0,40,0
1990,29,1,0,0,0,1,498,0,60,0
1990,31,2,0,0,0,1,17,4,70,0
1990,36,2,2,0,0,1,156,5,40,0
1990,42,1,0,0,0,1,529,2,40,1
1990,35,2,0,0,0,0,243,3,30,0
1990,42,1,3,0,0,0,497,0,60,0
1990,31,1,1,0,0,0,804,2,60,0
1990,33,1,2,3,0,0,844,0,42,0
1990,38,2,0,2,1,0,435,3,38,0
1990,54,1,0,2,1,1,779,1,0,0
1990,19,2,1,2,1,1,264,3,40,0
1990,20,1,1,0,0,1,829,6,50,0
1990,43,1,0,3,0,0,254,4,37,0
1990,34,2,0,3,0,0,468,5,3,0
1990,31,2,1,0,0,1,156,5,40,0
1990,40,1,0,3,0,0,865,5,40,0
1990,37,2,0,3,0,0,0,0,0,0
1990,72,1,0,3,0,0,156,5,35,0
1990,62,2,0,3,0,0,674,1,14,0
1990,24,1,1,3,0,0,779,2,40,0
1990,22,2,1,3,0,0,0,0,0,0
1990,19,1,1,3,0,0,869,0,49,0
1990,27,1,1,3,0,0,577,2,40,0
1990,26,2,1,3,0,1,453,5,0,0
1990,49,1,3,0,0,1,27,6,37,1
1990,58,2,1,0,0,1,156,5,40,0
1990,49,2,2,3,0,0,3,6,40,0
1990,55,1,2,3,0,0,615,0,75,0
1990,30,2,1,0,0,1,95,5,40,0
1990,36,1,1,3,0,0,877,3,84,0
1990,44,1,2,0,0,1,22,2,40,0
1990,26,1,1,0,0,0,453,4,0,0
1990,61,1,0,3,0,0,453,6,10,0
1990,48,2,0,3,0,0,447,5,15,0
1990,42,1,2,0,0,1,518,4,38,1
1990,28,2,1,0,0,1,95,5,40,0
1990,26,1,1,3,0,1,418,6,40,0
1990,26,1,0,0,0,1,558,0,70,0
1990,23,2,0,0,0,0,744,1,40,0
1990,70,2,3,0,0,0,0,0,0,0
1990,19,1,0,0,0,1,657,1,40,0
1990,20,2,0,0,0,1,313,3,25,0
1990,43,1,0,0,0,0,849,0,40,0
1990,38,2,0,0,0,0,0,0,0,0
1990,19,2,1,0,0,1,0,0,0,0
1990,52,1,0,0,0,0,22,1,0,0
1990,52,2,0,0,0,0,22,1,40,0
1990,51,1,0,0,0,1,33,1,45,0
1990,48,2,0,0,0,1,8,1,43,0
1990,23,1,0,0,0,0,516,2,40,0
1990,22,2,0,0,0,1,0,0,0,0
1990,46,2,0,0,0,0,458,4,24,0
1990,51,1,0,0,0,0,779,1,40,0
1990,57,1,0,0,0,0,883,1,40,0
1990,52,2,0,0,0,0,0,0,0,0
1990,44,1,0,0,0,1,415,1,45,0
1990,43,2,0,0,0,0,744,1,40,0
1990,19,2,1,0,0,0,274,3,30,0
1990,59,1,0,0,0,0,533,2,40,0
1990,52,2,0,0,0,1,0,0,0,0
1990,55,1,0,0,0,0,53,0,40,0
1990,51,2,0,0,0,0,0,0,0,0
1990,41,2,1,0,0,1,95,5,50,0
1990,45,2,2,0,0,1,445,5,50,0
1990,47,1,0,0,0,0,22,2,45,1
1990,45,2,0,0,0,1,156,5,35,0
1990,26,1,0,0,0,1,878,1,50,0
1990,25,2,0,0,0,1,315,5,0,0
1990,55,1,0,0,0,0,888,1,40,0
1990,49,2,0,0,0,0,0,0,0,0
1990,33,1,2,0,0,1,22,1,40,0
1990,29,1,0,0,0,0,505,4,40,0
1990,28,2,0,0,0,0,276,3,0,0
1990,42,1,0,0,0,0,0,0,0,0
1990,42,2,0,0,0,0,458,4,30,0
1990,57,1,0,0,0,0,0,0,0,0
1990,54,2,0,0,0,0,447,5,2,0
1990,18,1,1,0,0,0,453,3,16,0
1990,60,2,2,0,0,1,243,3,40,0
1990,60,1,0,0,0,1,637,1,40,0
1990,57,2,0,0,0,0,313,5,35,0
1990,78,1,3,0,0,0,0,0,0,0
1990,76,2,3,0,0,0,0,0,0,0
1990,41,1,0,0,0,1,637,2,40,0
1990,39,2,0,0,0,0,744,1,30,0
1990,70,2,3,0,0,0,0,0,0,0
1990,43,1,0,0,0,0,804,3,60,0
1990,36,2,0,0,0,1,385,5,38,0
1990,75,1,3,1,0,0,0,0,0,0
1990,66,1,0,0,0,0,0,0,0,0
1990,62,2,0,0,0,0,0,0,0,0
1990,55,1,0,0,0,0,855,0,72,0
1990,46,2,0,0,0,1,579,2,0,0
1990,76,2,2,0,0,1,313,5,40,0
1990,67,1,0,1,0,0,0,0,0,0
1990,57,2,0,1,0,0,0,0,0,0
1990,28,1,0,1,0,1,95,5,13,0
1990,27,2,0,1,0,1,276,3,30,0
1990,30,1,1,0,0,1,259,3,40,0
1990,77,1,0,0,0,0,0,0,0,0
1990,70,2,0,0,0,0,0,0,0,0
1990,43,1,0,0,0,0,783,0,40,0
1990,40,2,0,0,0,0,436,5,30,0
1990,20,1,1,0,0,0,259,1,40,0
1990,18,1,1,0,0,0,443,3,20,0
1990,42,1,0,1,0,1,45,1,40,0
1990,42,2,0,1,0,1,0,0,0,0
1990,61,1,0,0,0,0,243,3,48,0
1990,61,2,0,0,0,0,0,0,0,0
1990,29,2,1,0,0,1,29,3,40,0
1990,69,2,3,0,0,0,0,0,0,0
1990,62,1,3,1,0,0,0,0,0,0
1990,20,1,1,0,0,1,365,3,44,0
1990,29,1,0,0,0,0,597,0,40,0
1990,27,2,0,0,0,1,744,1,40,0
1990,58,1,0,0,0,0,0,0,0,0
1990,79,2,0,0,0,0,0,0,0,0
1990,33,1,0,0,0,0,563,0,40,0
1990,30,2,0,0,0,1,313,5,45,0
1990,51,1,0,0,0,0,259,1,35,0
1990,50,2,0,0,0,0,0,0,0,0
1990,18,2,1,0,0,0,0,0,0,0
1990,33,1,0,0,0,0,366,2,40,0
1990,30,2,0,0,0,0,17,3,55,0
1990,52,1,0,0,0,0,0,0,0,1
1990,48,2,0,0,0,0,5,2,40,0
1990,64,1,0,0,0,0,259,3,20,0
1990,61,2,0,0,0,0,0,0,0,0
1990,39,1,0,0,0,0,0,0,0,0
1990,38,2,0,0,0,0,744,1,40,0
1990,23,1,0,0,0,0,486,0,40,0
1990,35,2,0,0,0,0,435,3,40,0
1990,60,1,0,0,0,0,486,0,0,0
1990,51,2,0,0,0,0,0,0,0,0
1990,33,1,0,0,0,0,844,6,40,0
1990,32,2,0,0,0,0,337,5,40,0
